date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH_SECO,crea_recession
2005-12-31,1.1775,0.6738,0.2041,0.5084,1.2064,1.4872,0.6752,1.3685,0.6659,0.2355,0.7885,0.6334,0.8336,0.2118,1.6194,0.7077,1.0358,0.7366,0.9227,0.7397,1.0745,1.0028,0.8122,0.8927,1.7975,1.3242,1.0425,0
2006-03-31,1.3617,0.8065,0.4848,0.6905,1.2062,1.9900,0.6799,1.4745,0.9064,0.3811,1.0018,0.9628,1.0271,0.5295,1.9511,0.8883,1.1117,0.8477,1.1393,0.9170,0.8932,1.0980,1.1741,1.1439,1.7667,1.4078,1.1556,0
2006-06-30,1.1015,0.7541,0.5151,0.3373,1.0580,1.2697,0.5798,0.9339,0.7895,0.0732,1.1356,0.7345,1.0064,0.3609,1.4110,0.6787,0.8335,0.6931,0.7997,0.7713,0.7436,0.6138,0.7076,0.9147,1.6430,0.8432,0.7526,0
2006-09-30,1.0696,0.5910,0.4551,0.4087,1.0037,1.4368,0.6004,0.8357,0.6105,0.1445,0.6583,0.7048,0.7484,0.1129,1.3942,0.5462,0.7652,0.5326,0.7663,0.7408,0.5000,0.4485,0.9794,0.8024,1.3376,0.6657,0.7336,0
2006-12-31,1.3254,1.0782,0.6278,0.7999,1.4702,1.1691,1.0357,2.1243,0.9696,0.5693,1.5620,0.9271,1.4490,0.4948,1.2744,0.9851,1.5125,0.9692,1.1277,1.1170,1.2251,0.7185,1.2186,1.1562,1.9306,1.7542,1.3394,0
2007-03-31,0.5254,0.3857,0.0167,0.2121,0.1637,0.3767,0.3826,1.2813,0.1779,0.2185,-0.1874,0.3052,-0.1949,-0.1954,0.7153,0.1003,-0.1067,0.1784,0.5807,0.2194,0.5186,0.1246,1.0622,0.7167,0.8984,0.8891,0.5473,0
2007-06-30,1.4532,1.7443,1.2065,1.1110,1.1674,1.3504,1.2686,2.5109,1.3534,0.9525,2.2320,1.1604,1.8882,1.1591,1.8274,1.2761,1.6492,1.3763,1.2460,1.3866,1.4822,1.0514,1.6295,1.3837,2.1153,1.9681,1.6010,0
2007-09-30,1.2795,1.0669,0.8600,0.6719,1.0401,0.7816,0.8763,1.0907,1.0053,0.4744,1.2707,0.6731,1.2036,0.3412,1.4600,0.6014,1.0667,0.8542,0.8368,0.7519,0.6533,0.5638,0.8045,1.0275,1.3926,0.7585,0.8751,0
2007-12-31,1.0602,0.8455,0.7627,0.7703,0.6393,0.4153,0.9200,1.0235,0.3841,0.6603,0.6522,0.9645,1.0465,0.0861,1.5699,0.5844,0.2748,0.7289,0.8900,0.8171,0.4925,0.1897,0.7273,0.9076,0.7770,0.7923,0.8210,0
2008-03-31,1.5834,1.3327,1.0607,0.9888,1.0974,1.3969,1.3632,0.3742,1.4720,0.3164,1.0282,1.2512,1.1901,1.0582,1.4348,0.7034,1.5246,1.1824,0.5949,0.9702,0.8718,0.5831,1.2340,0.9779,1.2446,-0.0165,0.7695,0
